@RELATION fall

@ATTRIBUTE index INTEGER
@ATTRIBUTE meanV REAL
@ATTRIBUTE meanH REAL
@ATTRIBUTE meanM REAL
@ATTRIBUTE mstdV REAL
@ATTRIBUTE stdH REAL
@ATTRIBUTE stdM REAL
@ATTRIBUTE dofall {yes,no}

@DATA
112,2.229681635,2.008615812,3.001242593,0.099177955,0.032765698,0.09544932,yes
113,2.295998814,2.028797146,3.064221801,0.115067027,0.038237165,0.111440422,yes
114,2.361978449,2.052681804,3.129594906,0.116286916,0.036614698,0.111641893,yes
115,2.425071096,2.070377187,3.188856994,0.096048454,0.028366346,0.091149289,yes
116,2.477062512,2.082248406,3.236126833,0.072721701,0.019271257,0.067157419,yes
117,2.519382578,2.088803498,3.272788513,0.049642129,0.008534746,0.039901816,yes
118,2.548718679,2.087955107,3.294904142,0.040220072,0.010088262,0.025141443,yes
119,2.576026871,2.082999975,3.31295737,0.041511786,0.009743523,0.026723844,yes
120,2.605201676,2.080750184,3.334282139,0.046746627,0.007767328,0.034572064,yes
121,2.634522617,2.079761631,3.356603985,0.049928932,0.006238415,0.041124811,yes
122,2.666116578,2.084017951,3.384047341,0.054464924,0.013090779,0.050525532,yes
123,2.699848069,2.093145606,3.416241482,0.052246409,0.018105201,0.052180534,yes
124,2.733600189,2.099949878,3.44713751,0.05212177,0.01508352,0.049469992,yes
125,2.774827847,2.105591997,3.483422594,0.068178354,0.011797383,0.058994134,yes
126,2.83498154,2.111282466,3.535196182,0.105313374,0.00536244,0.08600631,yes
127,2.914220201,2.112251196,3.600082423,0.150791558,0.004263766,0.121942935,yes
128,3.014618257,2.110516432,3.681231208,0.188570481,0.002680283,0.154888866,yes
129,3.12834132,2.114435582,3.777133052,0.198685821,0.007484963,0.166766369,yes
130,3.230137924,2.125328337,3.86729449,0.164548473,0.023349719,0.145524928,yes
131,3.297101247,2.148431003,3.935573033,0.10323069,0.051104351,0.10314973,yes
132,3.320459913,2.184997748,3.975564674,0.060940484,0.075945671,0.051719197,yes
133,3.307725881,2.229563914,3.990287425,0.079009686,0.085416729,0.02352794,yes
134,3.281742458,2.279964829,3.997209015,0.074841193,0.08430059,0.026446002,yes
135,3.275721171,2.325507539,4.01772695,0.065023215,0.066306734,0.062293063,yes
136,3.318866631,2.354820179,4.069886669,0.140385951,0.041523365,0.128560384,yes
137,3.425427055,2.372521777,4.168389727,0.240169038,0.023235376,0.204676613,yes
138,3.584163943,2.390316415,4.310532638,0.308755245,0.018407375,0.263834743,yes
139,3.768099257,2.411373955,4.475615123,0.325682967,0.044430308,0.292831855,yes
140,3.962553159,2.447515316,4.658381518,0.307019205,0.082619703,0.3010603,yes
141,4.154277503,2.503007747,4.850311936,0.282267755,0.11152286,0.298398705,yes
142,4.337348097,2.575200231,5.044305636,0.276494921,0.128473746,0.303293063,yes
143,4.520362496,2.662769269,5.246383963,0.296604612,0.145512357,0.329376493,yes
144,4.724095468,2.773601831,5.478161343,0.334098534,0.182242034,0.380066771,yes
145,4.932129922,2.917626481,5.730704485,0.348680588,0.254711411,0.428136671,yes
146,5.113584231,3.09554475,5.978794555,0.305755529,0.325712019,0.425465136,yes
147,5.246262703,3.284733739,6.192346848,0.207700865,0.34335587,0.347157979,yes
148,5.309508867,3.46008076,6.340812038,0.101101843,0.291718654,0.20433754,yes
149,5.284772035,3.598970722,6.396758564,0.146337088,0.187730601,0.101312954,yes
150,5.202063962,3.675478404,6.371056931,0.196327721,0.078140459,0.141266354,yes
151,5.109507915,3.692827222,6.304848243,0.179461819,0.043700321,0.159003375,yes
152,5.042426708,3.678448037,6.241711675,0.112807729,0.05580778,0.115944535,yes
153,5.020200141,3.648884329,6.206488612,0.06996099,0.056863135,0.058819317,yes
154,5.04498287,3.612290524,6.205458838,0.100391896,0.047103075,0.057155261,yes
155,5.095725818,3.591211535,6.234527025,0.106704312,0.032780837,0.069489175,yes
156,5.147089823,3.591924731,6.276720593,0.078063559,0.033877263,0.061530433,yes
157,5.179855601,3.621957557,6.320869188,0.037604575,0.086476986,0.063316579,yes
158,5.195196023,3.707347765,6.383879248,0.012954851,0.191619966,0.112270585,yes
159,5.205092338,3.860658496,6.484129616,0.01541097,0.306603883,0.190814496,yes
160,5.215936246,4.042423397,6.603362965,0.029852582,0.357025199,0.238385009,yes
161,5.238845298,4.235308146,6.74002421,0.0556375,0.341625127,0.253109179,yes
162,5.28210706,4.41814961,6.887707704,0.083558629,0.263619418,0.227391026,yes
163,5.343667052,4.562573022,7.026767599,0.110793359,0.168110051,0.18978996,yes
164,5.431547957,4.65509284,7.153521272,0.159412741,0.119169683,0.195022531,yes
165,5.54307469,4.736912978,7.291513631,0.200641844,0.108511457,0.222137529,yes
166,5.663622375,4.817010146,7.435203832,0.215958339,0.127237684,0.245486975,yes
167,5.791876468,4.915515743,7.596670162,0.214057902,0.176352072,0.2744703,yes
168,5.922970282,5.035192888,7.774109238,0.190990982,0.222187287,0.288629783,yes
169,6.030856277,5.165028778,7.940553468,0.160199636,0.224964762,0.267812433,yes
170,6.126760765,5.296304512,8.098874313,0.144727586,0.214672368,0.249745018,yes
171,6.223282426,5.434236508,8.262134506,0.138048654,0.196920033,0.23337719,yes
172,6.311087472,5.560973054,8.411687882,0.136580786,0.190633826,0.228445338,yes
